valuvalue,time
26.00,78049
27.00,78050
21.00,78051
25.00,78052
21.00,78053
28.00,78054
21.00,78055
26.00,78056
24.00,78057
23.00,78058
28.00,78059
24.00,78060
22.00,78061
26.00,78062
21.00,78063
25.00,78064
26.00,78065
21.00,78066
26.00,78067
23.00,78068
22.00,78069
26.00,78070
24.00,78071
22.00,78072
26.00,78073
22.00,78074
22.00,78075
23.00,78076
22.00,78077
23.00,78078
26.00,78079
26.00,78080
27.00,78081
24.00,78082
21.00,78083
27.00,78084
25.00,78085
23.00,78086
26.00,78087
24.00,78088
22.00,78089
26.00,78090
23.00,78091
22.00,78092
24.00,78093
21.00,78094
24.00,78095
25.00,78096
21.00,78097
24.00,78098
24.00,78099
21.00,78100
26.00,78101
25.00,78102
22.00,78103
27.00,78104
23.00,78105
23.00,78106
27.00,78107
23.00,78108
23.00,78109
26.00,78110
20.00,78111
24.00,78112
25.00,78113
20.00,78114
24.00,78115
25.00,78116
22.00,78117
25.00,78118
24.00,78119
21.00,78120
25.00,78121
23.00,78122
21.00,78123
26.00,78124
23.00,78125
22.00,78126
26.00,78127
22.00,78128
22.00,78129
28.00,78130
22.00,78131
23.00,78132
26.00,78133
22.00,78134
24.00,78135
26.00,78136
21.00,78137
24.00,78138
27.00,78139
26.00,78140
25.00,78141
25.00,78142
21.00,78143
22.00,78144
26.00,78145
21.00,78146
23.00,78147
25.00,78148
21.00,78149
23.00,78150
26.00,78151
21.00,78152
26.00,78153
27.00,78154
21.00,78155
24.00,78156
24.00,78157
20.00,78158
23.00,78159
25.00,78160
20.00,78161
25.00,78162
24.00,78163
22.00,78164
25.00,78165
25.00,78166
22.00,78167
26.00,78168
25.00,78169
19.00,78170
26.00,78171
25.00,78172
21.00,78173
24.00,78174
23.00,78175
21.00,78176
25.00,78177
23.00,78178
21.00,78179
24.00,78180
22.00,78181
20.00,78182
26.00,78183
23.00,78184
20.00,78185
25.00,78186
23.00,78187
21.00,78188
26.00,78189
22.00,78190
20.00,78191
25.00,78192
24.00,78193
20.00,78194
26.00,78195
24.00,78196
20.00,78197
24.00,78198
25.00,78199
19.00,78200
27.00,78201
24.00,78202
21.00,78203
21.00,78204
25.00,78205
21.00,78206
23.00,78207
27.00,78208
21.00,78209
23.00,78210
25.00,78211
21.00,78212
21.00,78213
26.00,78214
22.00,78215
20.00,78216
27.00,78217
23.00,78218
22.00,78219
26.00,78220
24.00,78221
21.00,78222
25.00,78223
24.00,78224
21.00,78225
25.00,78226
24.00,78227
22.00,78228
23.00,78229
26.00,78230
20.00,78231
23.00,78232
24.00,78233
22.00,78234
22.00,78235
27.00,78236
22.00,78237
22.00,78238
27.00,78239
22.00,78240
22.00,78241
24.00,78242
24.00,78243
21.00,78244
26.00,78245
22.00,78246
21.00,78247
25.00,78248
22.00,78249
20.00,78250
26.00,78251
23.00,78252
20.00,78253
26.00,78254
24.00,78255
21.00,78256
23.00,89650
21.00,89651
25.00,89652
25.00,89653
20.00,89654
22.00,89655
23.00,89656
