value,time
18.00,0
21.00,1
18.00,2
24.00,3
17.00,4
25.00,5
19.00,6
20.00,7
23.00,8
18.00,9
24.00,10
25.00,11
23.00,12
17.00,13
17.00,14
21.00,15
23.00,16
25.00,17
25.00,18
19.00,19
18.00,20
20.00,21
23.00,22
26.00,23
23.00,24
19.00,25
16.00,26
16.00,27
22.00,28
26.00,29
26.00,30
19.00,31
17.00,32
18.00,33
26.00,34
24.00,35
25.00,36
22.00,37
20.00,38
18.00,39
24.00,40
24.00,41
27.00,42
22.00,43
19.00,44
18.00,45
18.00,46
24.00,47
25.00,48
24.00,49
21.00,50
16.00,51
16.00,52
20.00,53
24.00,54
24.00,55
20.00,56
17.00,57
18.00,58
22.00,59
25.00,60
25.00,61
21.00,62
17.00,63
22.00,64
20.00,65
25.00,66
27.00,67
22.00,68
19.00,69
18.00,70
20.00,71
24.00,72
26.00,73
24.00,74
20.00,75
20.00,76
17.00,77
25.00,78
28.00,79
26.00,80
20.00,81
19.00,82
19.00,83
22.00,84
26.00,85
25.00,86
21.00,87
17.00,88
18.00,89
19.00,90
23.00,91
23.00,92
21.00,93
13.00,94
17.00,95
20.00,96
26.00,97
26.00,98
21.00,99
0.00,100
0.00,101
0.00,102
0.00,103
0.00,104
0.00,105
0.00,106
0.00,107
0.00,108
0.00,109
0.00,110
0.00,111
0.00,112
0.00,113
0.00,114
0.00,115
0.00,116
0.00,117
0.00,118
0.00,119
0.00,120
0.00,121
0.00,122
0.00,123
0.00,124
0.00,125
0.00,126
0.00,127
0.00,128
0.00,129
0.00,130
0.00,131
0.00,132
0.00,133
0.00,134
0.00,135
0.00,136
0.00,137
0.00,138
0.00,139
0.00,140
0.00,141
0.00,142
0.00,143
0.00,144
0.00,145
0.00,146
0.00,147
0.00,148
0.00,149
0.00,150
0.00,151
0.00,152
0.00,153
0.00,154
0.00,155
0.00,156
0.00,157
0.00,158
0.00,159
0.00,160
0.00,161
0.00,162
0.00,163
0.00,164
0.00,165
0.00,166
0.00,167
0.00,168
0.00,169
0.00,170
0.00,171
0.00,172
0.00,173
0.00,174
0.00,175
0.00,176
0.00,177
0.00,178
0.00,179
0.00,180
0.00,181
0.00,182
0.00,183
0.00,184
0.00,185
0.00,186
0.00,187
0.00,188
0.00,189
0.00,190
0.00,191
0.00,192
0.00,193
0.00,194
0.00,195
0.00,196
0.00,197
0.00,198
0.00,199
0.00,200
0.00,201
0.00,202
0.00,203
0.00,204
0.00,205
0.00,206
0.00,207
0.00,208
0.00,209
0.00,210
0.00,211
1.00,212
0.00,213
0.00,214
0.00,215
0.00,216
0.00,217
0.00,218
0.00,219
0.00,220
0.00,221
0.00,222
0.00,223
0.00,224
0.00,225
0.00,226
0.00,227
0.00,228
0.00,229
0.00,230
0.00,231
0.00,232
0.00,233
0.00,234
0.00,235
0.00,236
0.00,237
0.00,238
0.00,239
0.00,240
0.00,241
0.00,242
0.00,243
0.00,244
0.00,245
0.00,246
0.00,247
0.00,248
0.00,249
0.00,250
0.00,251
0.00,252
0.00,253
0.00,254
0.00,255
0.00,256
0.00,257
0.00,258
0.00,259
0.00,260
0.00,261
0.00,262
0.00,263
0.00,264
0.00,265
0.00,266
0.00,267
0.00,268
0.00,269
0.00,270
0.00,271
0.00,272
0.00,273
0.00,274
0.00,275
0.00,276
0.00,277
0.00,278
0.00,279
0.00,280
0.00,281
0.00,282
0.00,283
0.00,284
0.00,285
0.00,286
0.00,287
0.00,288
0.00,289
0.00,290
0.00,291
0.00,292
0.00,293
22.00,294
17.00,295
20.00,296
21.00,297
17.00,298
18.00,299
21.00,300
19.00,301
23.00,302
22.00,303
20.00,304
26.00,305
24.00,306
26.00,307
27.00,308
24.00,309
24.00,310
21.00,311
21.00,312
22.00,313
21.00,314
24.00,315
21.00,316
20.00,317
17.00,318
16.00,319
17.00,320
19.00,321
17.00,322
21.00,323
19.00,324
24.00,325
22.00,326
24.00,327
27.00,328
22.00,329
25.00,330
26.00,331
21.00,332
22.00,333
17.00,334
18.00,335
18.00,336
18.00,337
22.00,338
20.00,339
19.00,340
24.00,341
23.00,342
26.00,343
24.00,344
24.00,345
25.00,346
19.00,347
17.00,348
17.00,349
14.00,350
17.00,351
24.00,352
20.00,353
26.00,354
26.00,355
24.00,356
22.00,357
22.00,358
25.00,359
26.00,360
24.00,361
25.00,362
22.00,363
24.00,364
26.00,365
20.00,366
19.00,367
17.00,368
19.00,369
16.00,370
18.00,371
24.00,372
22.00,373
22.00,374
26.00,375
25.00,376
25.00,377
27.00,378
24.00,379
24.00,380
18.00,381
19.00,382
18.00,383
17.00,384
16.00,385
19.00,386
17.00,387
23.00,388
21.00,389
27.00,390
23.00,391
23.00,392
18.00,393
20.00,394
15.00,395
19.00,396
20.00,397
17.00,398
18.00,399
18.00,400
19.00,401
20.00,402
18.00,403
22.00,404
22.00,405
25.00,406
24.00,407
23.00,408
26.00,409
