valuvalue,time
2.00,1670
2.00,30206
2.00,35316
2.00,72442
3.00,72596
2.00,73795
2.00,73890
2.00,75274
2.00,76101
3.00,76211
2.00,76356
2.00,76950
2.00,78487
2.00,79065
2.00,79094
3.00,80194
2.00,80248
2.00,81149
2.00,81405
2.00,81714
2.00,82965
3.00,86240
4.00,86934
2.00,88667
2.00,88770
4.00,89177
2.00,89895
2.00,90389
2.00,91486
3.00,91490
2.00,92257
2.00,93768
2.00,106118
2.00,106584
2.00,106885
3.00,107207
2.00,107543
2.00,107604
2.00,107917
2.00,108453
2.00,110235
3.00,110654
2.00,110764
3.00,111139
2.00,111175
2.00,111582
2.00,112224
3.00,113188
2.00,115244
3.00,115345
3.00,115683
2.00,116243
2.00,138951
2.00,162918
2.00,162966
2.00,162971
2.00,162982
2.00,162997
2.00,163010
3.00,163016
2.00,163029
2.00,163067
2.00,163084
2.00,163092
2.00,163110
2.00,163127
2.00,163155
2.00,163176
2.00,163192
2.00,163214
2.00,163221
2.00,163228
2.00,163263
2.00,163266
2.00,163270
2.00,163299
2.00,163315
2.00,163335
2.00,163362
2.00,163369
3.00,163464
2.00,163467
2.00,163532
2.00,163585
2.00,163607
2.00,163627
2.00,163631
2.00,163647
2.00,163651
2.00,163667
2.00,163704
2.00,163726
2.00,163736
2.00,163759
2.00,163766
2.00,163770
2.00,163818
2.00,163826
2.00,163827
2.00,163828
2.00,163858
2.00,163859
2.00,163891
2.00,163905
2.00,163944
2.00,163988
2.00,163989
2.00,163990
2.00,164009
2.00,164011
2.00,164016
2.00,164046
2.00,164082
2.00,164087
2.00,164092
2.00,164107
2.00,164109
2.00,164111
2.00,164179
2.00,164187
2.00,164224
2.00,164226
2.00,164228
2.00,164249
2.00,164267
2.00,164316
2.00,164319
2.00,164322
2.00,164344
2.00,164348
2.00,164359
2.00,164365
2.00,164375
2.00,164403
2.00,164447
2.00,164475
2.00,164492
2.00,164499
2.00,164502
2.00,164523
3.00,164526
2.00,164588
2.00,164615
2.00,164628
2.00,164635
2.00,164687
2.00,164706
2.00,164709
2.00,164718
2.00,164771
2.00,164798
2.00,164849
2.00,164858
2.00,164889
2.00,164897
2.00,164909
2.00,164918
2.00,164952
2.00,164962
2.00,165015
2.00,165027
2.00,165031
2.00,165045
2.00,165066
2.00,165069
2.00,165084
2.00,165136
2.00,165139
2.00,165170
2.00,165198
2.00,165205
2.00,165241
2.00,165246
