value,time
2.00,35578
6.00,35860
7.00,35861
4.00,35862
1.00,35863
2.00,35864
7.00,35865
7.00,35866
2.00,35867
5.00,35868
6.00,35869
4.00,35870
4.00,35871
2.00,35872
7.00,35873
5.00,35874
7.00,35875
8.00,35876
3.00,35877
4.00,35878
4.00,35879
7.00,35880
7.00,35881
5.00,35882
2.00,35883
2.00,35884
6.00,35885
7.00,35886
5.00,35887
3.00,35888
1.00,35889
5.00,35890
8.00,35891
5.00,35892
2.00,35893
3.00,35894
7.00,35895
3.00,35896
2.00,35897
4.00,35898
5.00,35899
7.00,35900
1.00,35901
1.00,35902
7.00,35903
7.00,35904
3.00,35905
3.00,35906
3.00,35907
7.00,35908
3.00,35909
4.00,35910
2.00,35911
3.00,35912
8.00,35913
9.00,35914
6.00,35915
1.00,35916
2.00,35917
8.00,35918
6.00,35919
7.00,35920
2.00,35921
3.00,35922
6.00,35923
4.00,35924
7.00,35925
5.00,35926
4.00,35927
3.00,35928
9.00,35929
7.00,35930
2.00,35931
2.00,35932
5.00,35933
4.00,35934
3.00,35935
3.00,35936
3.00,35937
8.00,35938
2.00,35939
2.00,35940
6.00,35941
8.00,35942
4.00,35943
2.00,35944
3.00,35945
7.00,35946
7.00,35947
6.00,35948
2.00,35949
2.00,35950
9.00,35951
8.00,35952
7.00,35953
1.00,35954
2.00,35955
6.00,35956
6.00,35957
8.00,35958
4.00,35959
3.00,35960
4.00,35961
7.00,35962
7.00,35963
3.00,35964
3.00,35965
6.00,35966
5.00,35967
2.00,35968
3.00,35969
4.00,35970
7.00,35971
2.00,35972
3.00,35973
6.00,35974
9.00,35975
5.00,35976
2.00,35977
2.00,35978
8.00,35979
7.00,35980
3.00,35981
4.00,35982
7.00,35983
7.00,35984
4.00,35985
3.00,35986
4.00,35987
3.00,35988
7.00,35989
7.00,35990
6.00,35991
3.00,35992
5.00,35993
8.00,35994
7.00,35995
8.00,35996
2.00,35997
2.00,35998
6.00,35999
6.00,36000
4.00,36001
3.00,36002
3.00,36003
7.00,36004
3.00,36005
3.00,36006
8.00,36007
6.00,36008
6.00,36009
2.00,36010
3.00,36011
7.00,36012
9.00,36013
3.00,36015
2.00,36016
3.00,36017
7.00,36018
7.00,36019
6.00,36020
2.00,36021
2.00,36022
8.00,36023
4.00,36024
3.00,36025
4.00,36026
5.00,36027
6.00,36028
3.00,36030
2.00,36031
4.00,36032
6.00,36033
7.00,36034
4.00,36035
2.00,36036
5.00,36037
7.00,36038
8.00,36039
1.00,36040
2.00,36041
8.00,36042
4.00,36043
3.00,36044
2.00,36045
3.00,36046
9.00,36047
2.00,36048
2.00,36049
5.00,36050
6.00,36051
4.00,36052
1.00,36053
3.00,36054
7.00,36055
8.00,36056
2.00,36058
3.00,36059
3.00,36060
6.00,36061
3.00,36063
3.00,36064
4.00,36065
6.00,36066
5.00,36067
5.00,36068
5.00,36069
3.00,36070
3.00,36071
3.00,36072
7.00,36073
6.00,36074
1.00,36075
5.00,36076
8.00,36077
2.00,36078
3.00,36079
3.00,36080
7.00,36081
7.00,36082
3.00,36083
1.00,36084
6.00,36085
4.00,36086
3.00,36087
3.00,36088
4.00,36089
6.00,36090
2.00,36091
1.00,36092
7.00,36093
7.00,36094
5.00,36095
3.00,36096
1.00,36097
8.00,36098
6.00,36099
6.00,36100
1.00,36101
2.00,36102
7.00,36103
7.00,36104
8.00,36105
2.00,36106
1.00,36107
6.00,36108
5.00,36109
7.00,36110
4.00,36111
3.00,36112
3.00,36113
6.00,36114
6.00,36115
3.00,36117
